genotype,"blast count, % of sample, -1=unavailable",ecotype/subspecies,additional organism part information,animal model,celiac disease,b cell type,age
genotype mutant (asense,Day sampled,host species,host organism,Animal model,disease,cell type,Arabidopsis thaliana (col-0) - dev.stage (Boyes et al. Plant Cell 2001)
genotype: 555.11del,material sample,single species biofilm / culture,organism detected in blood culture,cell line derived from gem model of prostate cancer,disease stage,cell type (purified cell subset),Arabidopsis thaliana (columbia) - age
genotype: prototroph 555.11del,Pooled sample,species,organism detected using array,cell model,disease staging,cell type subpopulation,Arabidopsis thaliana (columbia) mutant (dcl2-1 dcl3-1 dcl4-2) - age
genotype: prototroph 670.20del,Pooled sample of tumor-free surgical margins of laryngeal squamous cell carcinoma (LSCC),species status,organism part,disease model,disease state,cell type(s),Arabidopsis thaliana (columbia) mutant (dcl4-1) - age
genotype: Tn7,sample,species type,organism part(tissue),gem model of prostate cancer,disease state time,reference cell type,Arabidopsis thaliana (columbia) mutant (rdr6-1) - age
Hal genotype,sample characteristics,sub species,organism structure,generation in xenograft model,disease status,source of cell type,Arabidopsis thaliana (columbia) - dev.stage (Boyes et al. Plant Cell 2001)
individual genotype,sample source name,subspecies,organism type,genetic model,diseased,t cell type,Arabidopsis thaliana (columbia) mutant (35S-ABA47b) - dev.stage (Boyes et al. Plant Cell 2001)
Mecp2 genotype,sample type,sugar species,organism weight,genetically engineered mouse model,"rfs event (0=no relapse, 1=relapsed at any site or died of disease)",test cell type,Arabidopsis thaliana (columbia) mutant (35S-ABA416i) - dev.stage (Boyes et al. Plant Cell 2001)
pool genotype,"sample viability, % of sample, -1=unavailable",two-species biofilm,supporting culture organism,hcv infection model,Time (yrs) from PSA recurrence to systemic disease,tumor cell type,Arabidopsis thaliana (columbia) mutant (35S-NCED622.4) - dev.stage (Boyes et al. Plant Cell 2001)
genotype: 670.20del,sample nr,community species composition,organism(s),mouse model strain,disease group,cell types,age/sex
hcv genotype,number of samples in the pool,claimed species,organism part information,mouse model age,no evidence of disease (ned) or failed,melanoma cell type,gender and age
mouse genotype,tissue sample,actual species,organism status,mouse model gender,disease free interval (months),tissue or cell type,passsage number
brca genotype,reference sample,infecting parasite species,host organism for xenografts only,hiearchical model of known recurrent aberrations,meibomian gland disease state,cancer cell type,dev.stage (boyes et al. plant cell 2001) boyes
hdh genotype,sample tissue of origin,rna species,organism reference,model system,disease severity,cell type (sorted),transfection reagent
a.thaliana genotype,sample id,species in mixed sample,organism count,hcv infection model,clinical characteristic/disease status,cell type derived from,age of diagnosis
cmv genotype/variation,coriell sample,qpcr plasmodium species,organism modifier note,responded to raf265 in mouse model,index case disease site,cell line/cell type,hemangioma growth stage
genotype variation,patient sample,Pre-coloniser species,microorganisms,strain/model,disease free survival time (months),pancreatic cell type,pasage
genotype: Arabidopsis thaliana (wassilewskija) mutant (phs1-); age,repeat samples derived from dentical donors,species in mixed culture,organism isolated from,migration model,disease category,source cell type,oocyte stage
